NAME_1,Population,GDP,Inset
Amnat Charoen,378438,465838475,C
Ang Thong,279654,704392203,C
Bangkok Metropolis,5666264,1.33623E+11,C
Bueng Kan,424091,662637006,C
Buri Ram,1595747,2317742542,C
Chachoengsao,720113,9635192090,C
Chai Nat,326611,803023955,C
Chaiyaphum,1137357,1667904802,C
Chanthaburi,537698,3111858531,C
Chiang Mai,1779254,6284976667,C
Chiang Rai,1298304,2820048475,C
Chon Buri,1558301,25769310000,C
Chumphon,511304,2322273446,C
Kalasin,983418,1498829492,C
Kamphaeng Phet,727807,3022498079,C
Kanchanaburi,895525,2608318475,C
Khon Kaen,1802872,5503787627,C
Krabi,476739,2470187232,C
Lampang,738316,1950425593,C
Lamphun,405075,1985757599,C
Loei,642950,1270441271,C
Lop Buri,755556,2760852203,C
Mae Hong Son,284138,346073446,C
Maha Sarakham,962665,1532501695,C
Mukdahan,353174,657761045,C
Nakhon Nayok,260751,714342288,C
Nakhon Pathom,920030,8829081356,C
Nakhon Phanom,719136,1170646780,C
Nakhon Ratchasima,2648927,7446964068,C
Nakhon Sawan,1059887,2941128785,C
Nakhon Si Thammarat,1561927,4251548079,C
Nan,478227,852598023,C
Narathiwat,808020,1189498164,C
Nong Bua Lam Phu,512780,660636695,C
Nong Khai,522311,1068935593,C
Nonthaburi,1265387,8044070678,C
Pathum Thani,1163604,9796534237,C
Pattani,725104,1533333814,C
Phangnga,268788,1808310706,C
Phatthalung,524865,992451186,C
Phayao,472356,977243051,C
Phetchabun,992451,2228180480,C
Phetchaburi,485191,1775989576,C
Phichit,536311,1197642571,C
Phitsanulok,865247,2456791780,C
Phra Nakhon Si Ayutthaya,820188,11271563305,C
Phrae,441726,777129718,C
Phuket,416582,5412964068,C
Prachin Buri,494680,6439512373,C
Prachuap Khiri Khan,554116,2456868220,C
Ranong,193370,725525424,C
Ratchaburi,873101,4901112768,C
Rayong,734753,25351467345,C
Roi Et,1305211,1939653785,C
Sa Kaeo,566303,1139004689,C
Sakon Nakhon,1153390,1483603079,C
Samut Prakan,1344875,19545603898,C
Samut Sakhon,584703,10345305169,C
Samut Songkhram,193305,589687006,C
Saraburi,645911,6700851102,C
Satun,323586,987468927,C
Si Sa Ket,1472859,1883531808,C
Sing Buri,208446,705975989,C
Songkhla,1435968,6826769237,C
Sukhothai,595072,1131895706,C
Suphan Buri,846334,2286246864,C
Surat Thani,1068010,5676485000,C
Surin,1396831,1989910169,C
Tak,665620,1343106017,C
Trang,643164,1901836158,C
Trat,229958,1111383249,C
Ubon Ratchathani,1878146,3207552486,C
Udon Thani,1586646,3038201695,C
Uthai Thani,328618,739750508,C
Uttaradit,453103,948179661,C
Yala,536330,1241769831,C
Yasothon,537299,735894181,C